"from_id","to_id","relation_type","relation_description","source_id","last_verified"
"CL-SUB-PATR","CL-MIN-CULT","depends_on","Subsecretaría del Patrimonio Cultural integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-BBNN","CL-MIN-BBNN","depends_on","Subsecretaría de Bienes Nacionales integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-ECO","CL-MIN-ECO","depends_on","Subsecretaría de Economía y Empresas de Menor Tamaño integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-PESCA","CL-MIN-ECO","depends_on","Subsecretaría de Pesca y Acuicultura integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-TUR","CL-MIN-ECO","depends_on","Subsecretaría de Turismo integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-EDU","CL-MIN-EDU","depends_on","Subsecretaría de Educación integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-PARV","CL-MIN-EDU","depends_on","Subsecretaría de Educación Parvularia integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-EDUSUP","CL-MIN-EDU","depends_on","Subsecretaría de Educación Superior integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-SUB-MINERIA","CL-MIN-MINERIA","depends_on","Subsecretaría de Minería integra la estructura del ministerio indicado.","SRC-GOB-MIN","2026-09-19"
"CL-DPR-15","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-01","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-02","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-03","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-04","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-05","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-06","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-07","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-16","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-08","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-09","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-14","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-10","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-11","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-12","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPR-13","CL-MIN-INT","executive_territorial_link","Delegación territorial del Poder Ejecutivo.","SRC-INTERIOR","2026-09-19"
"CL-DPP-152","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Parinacota.","SRC-INTERIOR","2026-09-19"
"CL-DPP-014","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Tamarugal.","SRC-INTERIOR","2026-09-19"
"CL-DPP-022","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de El Loa.","SRC-INTERIOR","2026-09-19"
"CL-DPP-023","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Tocopilla.","SRC-INTERIOR","2026-09-19"
"CL-DPP-032","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Chañaral.","SRC-INTERIOR","2026-09-19"
"CL-DPP-033","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Huasco.","SRC-INTERIOR","2026-09-19"
"CL-DPP-042","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Choapa.","SRC-INTERIOR","2026-09-19"
"CL-DPP-043","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Limarí.","SRC-INTERIOR","2026-09-19"
"CL-DPP-052","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Isla de Pascua.","SRC-INTERIOR","2026-09-19"
"CL-DPP-053","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Los Andes.","SRC-INTERIOR","2026-09-19"
"CL-DPP-054","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Petorca.","SRC-INTERIOR","2026-09-19"
"CL-DPP-055","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Quillota.","SRC-INTERIOR","2026-09-19"
"CL-DPP-056","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de San Antonio.","SRC-INTERIOR","2026-09-19"
"CL-DPP-057","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de San Felipe de Aconcagua.","SRC-INTERIOR","2026-09-19"
"CL-DPP-058","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Marga Marga.","SRC-INTERIOR","2026-09-19"
"CL-DPP-132","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Cordillera.","SRC-INTERIOR","2026-09-19"
"CL-DPP-133","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Chacabuco.","SRC-INTERIOR","2026-09-19"
"CL-DPP-134","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Maipo.","SRC-INTERIOR","2026-09-19"
"CL-DPP-135","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Melipilla.","SRC-INTERIOR","2026-09-19"
"CL-DPP-136","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Talagante.","SRC-INTERIOR","2026-09-19"
"CL-DPP-062","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Cardenal Caro.","SRC-INTERIOR","2026-09-19"
"CL-DPP-063","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Colchagua.","SRC-INTERIOR","2026-09-19"
"CL-DPP-072","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Cauquenes.","SRC-INTERIOR","2026-09-19"
"CL-DPP-073","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Curicó.","SRC-INTERIOR","2026-09-19"
"CL-DPP-074","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Linares.","SRC-INTERIOR","2026-09-19"
"CL-DPP-162","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Itata.","SRC-INTERIOR","2026-09-19"
"CL-DPP-163","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Punilla.","SRC-INTERIOR","2026-09-19"
"CL-DPP-082","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Arauco.","SRC-INTERIOR","2026-09-19"
"CL-DPP-083","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Biobío.","SRC-INTERIOR","2026-09-19"
"CL-DPP-092","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Malleco.","SRC-INTERIOR","2026-09-19"
"CL-DPP-142","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Ranco.","SRC-INTERIOR","2026-09-19"
"CL-DPP-102","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Chiloé.","SRC-INTERIOR","2026-09-19"
"CL-DPP-103","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Osorno.","SRC-INTERIOR","2026-09-19"
"CL-DPP-104","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Palena.","SRC-INTERIOR","2026-09-19"
"CL-DPP-112","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Aysén.","SRC-INTERIOR","2026-09-19"
"CL-DPP-113","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Capitán Prat.","SRC-INTERIOR","2026-09-19"
"CL-DPP-114","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de General Carrera.","SRC-INTERIOR","2026-09-19"
"CL-DPP-122","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Antártica Chilena.","SRC-INTERIOR","2026-09-19"
"CL-DPP-123","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Tierra del Fuego.","SRC-INTERIOR","2026-09-19"
"CL-DPP-124","CL-MIN-INT","executive_territorial_link","Delegación Presidencial Provincial de Última Esperanza.","SRC-INTERIOR","2026-09-19"
"CL-SUP-ANCI","CL-MIN-SEG","sectoral_relation","Relación sectorial verificada a nivel de cartera.","SRC-SUPPLEMENT","2026-09-19"
"CL-SUP-SERMIG","CL-MIN-INT","sectoral_relation","Relación sectorial verificada a nivel de cartera.","SRC-SUPPLEMENT","2026-09-19"
"CL-SUP-SBAP","CL-MIN-MMA","sectoral_relation","Relación sectorial verificada a nivel de cartera.","SRC-SUPPLEMENT","2026-09-19"
"CL-SUP-CMF","CL-MIN-HAC","sectoral_relation","Relación sectorial verificada a nivel de cartera.","SRC-SUPPLEMENT","2026-09-19"
